Designator,Mid X,Mid Y,Rotation,Layer
C1,184,-130.55,0,top
D1,55.028441,-143.747164,6,top
D2,53.042391,-124.851252,6,top
D3,51.859039,-106.172472,6,top
D4,74.361671,-139.6919,2,top
D5,73.698581,-120.703483,2,top
D6,73.03547,-102,2,top
D7,94.000497,-134.000013,0,top
D8,94.000491,-114.999997,0,top
D9,94.000488,-96,0,top
D10,114.000506,-139,0,top
D11,114.000497,-120.000012,0,top
D12,114.000504,-101,0,top
D13,133.913229,-133.999244,-1,top
D14,134.244831,-115.002137,-1,top
D15,134.576421,-95.9,-1,top
D16,128.5,-150,0,top
D17,152,-153.5,-20,top
D18,149.5,-159,-40,top
D19,291.630069,-143.962661,-6,top
D20,293.616104,-125.066748,-6,top
D21,295.58655,-106.167055,-6,top
D22,272.349907,-139.893617,-2,top
D23,273.012997,-120.905201,-2,top
D24,273.609905,-101.923617,-2,top
D25,252.648901,-134.221203,0,top
D26,252.648894,-115.221186,0,top
D27,252.668906,-96.211215,0,top
D28,232.648902,-139.201203,0,top
D29,232.64889,-120.201213,0,top
D30,232.65891,-101.211208,0,top
D31,212.719152,-134.5,1,top
D32,212.416993,-115.486426,1,top
D33,212.045442,-96.470438,1,top
D34,218,-148,0,top
D35,196.5,-157.361979,20,top
D36,193.5,-153,40,top
